nama_kecamatan;nama_kelurahan;penyandang_disabilitas
CAKUNG;CAKUNG BARAT;12
CAKUNG;CAKUNG TIMUR;7
CAKUNG;JATINEGARA;10
CAKUNG;PENGGILINGAN;91
CAKUNG;PULO GEBANG;7
CAKUNG;RAWA TERATE;5
CAKUNG;UJUNG MENTENG;4
CEMPAKA PUTIH;CEMPAKA PUTIH BARAT;2
CEMPAKA PUTIH;CEMPAKA PUTIH TIMUR;1
CEMPAKA PUTIH;RAWASARI;7
CENGKARENG;CENGKARENG BARAT;1124
CENGKARENG;CENGKARENG TIMUR;28
CENGKARENG;DURI KOSAMBI;31
CENGKARENG;KAPUK;57
CENGKARENG;KEDAUNG KALI ANGKE;3
CENGKARENG;RAWA BUAYA;29
CILANDAK;CILANDAK BARAT;2
CILANDAK;CIPETE SELATAN;7
CILANDAK;GANDARIA SELATAN;4
CILANDAK;LEBAK BULUS;4
CILANDAK;PONDOK LABU;10
CILINCING;CILINCING;8
CILINCING;KALIBARU;3
CILINCING;MARUNDA;8
CILINCING;ROROTAN;16
CILINCING;SEMPER BARAT;8
CILINCING;SEMPER TIMUR;2
CILINCING;SUKAPURA;3
CIPAYUNG;BAMBU APUS;2
CIPAYUNG;CEGER;54
CIPAYUNG;CILANGKAP;4
CIPAYUNG;CIPAYUNG;1174
CIPAYUNG;LUBANG BUAYA;8
CIPAYUNG;MUNJUL;6
CIPAYUNG;PONDOK RANGGON;4
CIPAYUNG;SETU;4
CIRACAS;CIBUBUR;15
CIRACAS;CIRACAS;8
CIRACAS;KELAPA DUA WETAN;58
CIRACAS;RAMBUTAN;25
CIRACAS;SUSUKAN;8
DUREN SAWIT;DUREN SAWIT;13
DUREN SAWIT;KLENDER;25
DUREN SAWIT;MALAKA JAYA;30
DUREN SAWIT;MALAKA SARI;8
DUREN SAWIT;PONDOK BAMBU;33
DUREN SAWIT;PONDOK KELAPA;16
DUREN SAWIT;PONDOK KOPI;6
GAMBIR;CIDENG;8
GAMBIR;DURI PULO;1
GAMBIR;GAMBIR;2
GAMBIR;KEBON KELAPA;1
GAMBIR;PETOJO SELATAN;5
GAMBIR;PETOJO UTARA;3
GROGOL PETAMBURAN;GROGOL;13
GROGOL PETAMBURAN;JELAMBAR;15
GROGOL PETAMBURAN;JELAMBAR BARU;42
GROGOL PETAMBURAN;TANJUNG DUREN SELATAN;7
GROGOL PETAMBURAN;TANJUNG DUREN UTARA;1
GROGOL PETAMBURAN;TOMANG;34
GROGOL PETAMBURAN;WIJAYA KUSUMA;389
JAGAKARSA;CIGANJUR;69
JAGAKARSA;CIPEDAK;6
JAGAKARSA;JAGAKARSA;26
JAGAKARSA;LENTENG AGUNG;9
JAGAKARSA;SRENGSENG SAWAH;5
JAGAKARSA;TANJUNG BARAT;13
JATINEGARA;BALI MESTER;4
JATINEGARA;BIDARA CINA;27
JATINEGARA;CIPINANG BESAR SELATAN;15
JATINEGARA;CIPINANG BESAR UTARA;3
JATINEGARA;CIPINANG CEMPEDAK;12
JATINEGARA;CIPINANG MUARA;2
JATINEGARA;KAMPUNG MELAYU;1
JATINEGARA;RAWA BUNGA;10
JOHAR BARU;GALUR;6
JOHAR BARU;JOHAR BARU;18
JOHAR BARU;KAMPUNG RAWA;10
JOHAR BARU;TANAH TINGGI;6
KALI DERES;KALIDERES;10
KALI DERES;KAMAL;16
KALI DERES;PEGADUNGAN;69
KALI DERES;SEMANAN;11
KALI DERES;TEGAL ALUR;25
KEBAYORAN BARU;CIPETE UTARA;5
KEBAYORAN BARU;GANDARIA UTARA;2
KEBAYORAN BARU;GUNUNG;6
KEBAYORAN BARU;KRAMAT PELA;3
KEBAYORAN BARU;MELAWAI;3
KEBAYORAN BARU;PULO;1
KEBAYORAN BARU;RAWA BARAT;3
KEBAYORAN BARU;SELONG;1
KEBAYORAN LAMA;CIPULIR;16
KEBAYORAN LAMA;GROGOL SELATAN;5
KEBAYORAN LAMA;GROGOL UTARA;4
KEBAYORAN LAMA;KEBAYORAN LAMA SELATAN;9
KEBAYORAN LAMA;KEBAYORAN LAMA UTARA;5
KEBAYORAN LAMA;PONDOK PINANG;12
KEBON JERUK;DURI KEPA;14
KEBON JERUK;KEBON JERUK;15
KEBON JERUK;KEDOYA SELATAN;47
KEBON JERUK;KEDOYA UTARA;19
KEBON JERUK;KELAPA DUA;2
KEBON JERUK;SUKABUMI SELATAN;15
KEBON JERUK;SUKABUMI UTARA;20
KELAPA GADING;KELAPA GADING BARAT;2
KELAPA GADING;KELAPA GADING TIMUR;4
KELAPA GADING;PEGANGSAAN DUA;4
KEMAYORAN;CEMPAKA BARU;17
KEMAYORAN;GUNUNG SAHARI SELATAN;69
KEMAYORAN;HARAPAN MULIA;22
KEMAYORAN;KEBON KOSONG;19
KEMAYORAN;KEMAYORAN;9
KEMAYORAN;SERDANG;2
KEMAYORAN;SUMUR BATU;4
KEMAYORAN;UTAN PANJANG;1
KEMBANGAN;JOGLO;10
KEMBANGAN;KEMBANGAN SELATAN;5
KEMBANGAN;KEMBANGAN UTARA;23
KEMBANGAN;MERUYA SELATAN;28
KEMBANGAN;MERUYA UTARA;28
KEMBANGAN;SRENGSENG;22
KEPULAUAN SERIBU SELATAN;PULAU PARI;2
KEPULAUAN SERIBU SELATAN;PULAU TIDUNG;6
KEPULAUAN SERIBU SELATAN;PULAU UNTUNG JAWA;4
KEPULAUAN SERIBU UTARA;PULAU KELAPA;5
KOJA;KOJA;3
KOJA;LAGOA;9
KOJA;RAWA BADAK SELATAN;155
